x,y,group
30.184,3376.9,11452
34.224,3376.8,11452
37.924,3376.5,11452
38.676,3376.6,11452
39.048,3376.5,11452
47.98,3376.6,11452
48.928,3376.4,11452
48.932,3376.2,11452
51.076,3376.3,11452
57.256,3376.0,11452
60.072,3375.9,11452
60.808,3376.0,11452
61.076,3375.9,11452
61.52,3376.0,11452
62.112,3375.8,11452
62.844,3375.6,11452
63.328,3375.7,11452
66.448,3375.8,11452
66.87599999999999,3375.9,11452
69.8,3375.8,11452
72.23599999999999,3375.7,11452
80.256,3375.6,11452
88.03999999999998,3375.7,11452
90.716,3375.5,11452
93.824,3375.6,11452
93.824,3375.5,11452
93.828,3375.6,11452
94.824,3375.7,11452
95.10400000000001,3375.5,11452
0.0,3375.6,11453
0.3959999999999999,3375.5,11453
1.0799999999999998,3375.4,11453
2.528,3375.3,11453
2.708,3375.2,11453
2.708,3375.1,11453
5.263999999999999,3375.5,11453
5.352,3375.6,11453
7.524,3375.8,11453
10.308,3375.7,11453
10.308,3375.6,11453
10.308,3375.8,11453
10.472,3375.7,11453
17.439999999999998,3375.8,11453
17.916,3375.9,11453
18.636,3376.0,11453
22.3,3376.2,11453
22.9,3376.3,11453
24.948,3376.7,11453
26.108,3376.8,11453
30.032,3376.9,11453
34.072,3376.8,11453
37.772,3376.5,11453
38.524,3376.6,11453
38.896,3376.5,11453
47.828,3376.6,11453
48.776,3376.4,11453
48.78,3376.2,11453
50.924,3376.3,11453
57.104,3376.0,11453
59.92,3375.9,11453
60.656,3376.0,11453
60.924,3375.9,11453
61.368,3376.0,11453
61.96,3375.8,11453
62.692,3375.6,11453
63.176,3375.7,11453
66.29599999999999,3375.8,11453
66.724,3375.9,11453
69.648,3375.8,11453
72.084,3375.7,11453
80.104,3375.6,11453
87.88799999999999,3375.7,11453
90.564,3375.5,11453
93.672,3375.6,11453
93.672,3375.5,11453
93.676,3375.6,11453
94.672,3375.7,11453
94.952,3375.5,11453
95.608,3375.4,11453
0.0,3375.6,11631
