x,y,group
17.252,3375.9,11670
33.916,3375.8,11670
33.92,3375.9,11670
35.187999999999995,3376.0,11670
35.268,3376.1,11670
35.268,3376.2,11670
35.268,3376.3,11670
35.268,3376.4,11670
35.272,3376.2,11670
35.288,3376.3,11670
35.288,3376.2,11670
35.296,3376.1,11670
46.448,3375.9,11670
52.004,3376.0,11670
55.936,3375.9,11670
55.952,3376.0,11670
59.016,3376.1,11670
60.156,3376.0,11670
60.368,3376.1,11670
67.14,3375.9,11670
69.23599999999999,3375.8,11670
69.51599999999999,3375.9,11670
77.91599999999998,3375.6,11670
86.64,3375.5,11670
86.64399999999998,3375.4,11670
86.69199999999998,3375.5,11670
89.75199999999998,3375.4,11670
0.0,3375.9,11712
2.096,3375.8,11712
2.376,3375.9,11712
10.776,3375.6,11712
19.5,3375.5,11712
19.504,3375.4,11712
19.552,3375.5,11712
22.612,3375.4,11712
22.616,3375.6,11712
26.472,3375.8,11712
29.644,3375.6,11712
29.708,3375.5,11712
29.708,3375.7,11712
29.788,3375.6,11712
31.724,3375.5,11712
33.792,3375.3,11712
34.448,3375.1,11712
36.636,3375.0,11712
37.104,3374.8,11712
37.308,3374.7,11712
38.004,3374.6,11712
41.784,3374.7,11712
42.692,3374.6,11712
42.992,3374.7,11712
43.176,3374.6,11712
45.604,3374.8,11712
53.86,3374.7,11712
54.704,3374.6,11712
56.564,3374.7,11712
60.52,3374.8,11712
60.52,3374.9,11712
60.94,3375.0,11712
60.94,3375.1,11712
60.94,3375.2,11712
63.604,3375.1,11712
67.836,3375.0,11712
67.872,3375.1,11712
73.244,3375.7,11712
74.36399999999999,3375.5,11712
74.36399999999999,3375.6,11712
74.90399999999998,3375.7,11712
77.58799999999998,3375.8,11712
78.23999999999998,3375.6,11712
78.98399999999998,3375.4,11712
82.13599999999998,3375.7,11712
82.66799999999998,3375.5,11712
82.67199999999998,3375.6,11712
82.67199999999998,3375.7,11712
82.712,3375.8,11712
82.71599999999998,3375.9,11712
0.0,3372.8,11923
